sentiment,texts
positive,good time must sleep lol Gym dance rehearsals like hours
neutral,trip really great cant belive summers
neutral,halla got cold trying ignore
negative,tweeting ally court last time sad sad moment
negative,blerrrrrrrrrrgh im hot sticky
neutral,dinner eating bangus fish
negative,feel think im dehydrated
neutral,Biology final today home prepare psychology
positive,think Steph enjoy first Mother Day tomorrow
neutral,got home school assignments
positive,LT training today ehhh hard tall hard feels good Sunday race day raining lost mud
positive,whos going see reemer wednesdayy kirsty going im well exited
negative,miss u roommate
positive,jersey weather good charity drive
neutral,Oh realize already today still car ask
positive,sure would make Koons happy
positive,Happy Mother day VALK
neutral,know im wrong give one chance sEnti
positive,would like gaming system
neutral,since hours tomorrow
positive,LOVE new bracelets im proud sista rock girly
positive,Going home enjoy left day believe quickly week flew time tweets
neutral,laze bank holiday law
negative,Potluck danielle taking veggie tray miss
negative,think cold getting worse better cant stop coughing really sucks
neutral,time start unfollowing people think
negative,tix limbo usual UPSsucks
neutral,oooh gosh Google Wave looking pretty sexy Lunch time though Back Powerpoint significantly less sexy
neutral,go B Q new outdoor furniture
neutral,Sachie YNA KNOW PASSWORD YET
negative,interview picked NY probably forgot blogtalk radio
negative,hard time falling asleep
negative,oh kasa please lose hair
neutral,Im thinking bout life need bed fiance bed first
neutral,Flat tire city
neutral,hate exams first time last time school years yaaaay
positive,hope u alright final
positive,Hey socialmediatv new recorded show viewable later thanks Social Media TV live http
positive,Hello everyone im sitting rocking sam air best classic rock station twitter
neutral,Schwarzenegger proposes closing state parks http
neutral,http Bambi eat
negative,home pukey boy Poor little baby
positive,amazing jockey Saw Clydesdale commercial loved
positive,let know goes babe good luck
positive,Good morning since quiet
positive,Amazing night drive
negative,Sam go shoot self
negative,Midnight weather bored
positive,guns roses baby yay hopin would
negative,kinda like car situations lately prevented participating due carlessness
negative,Sooo Children Museum closed fund raiser got annoying
positive,Free good nite mean good nite wateva
negative,Pulled directions knowing go
neutral,senior already
negative,Yea someone getting best
positive,Cleaning day today runs stuff setting schedule week feel much better calmer
positive,using yahoo pipes combine feeds doable reliable guess
neutral,sometimes spam leaks message board
negative,odd lap maybe cat
neutral,cuz feel way
negative,leaving work going crystal search license picking bia heading vegas ugh tired already
neutral,Finally Origins Wolverine arrived Time play game like mad man time review
positive,LOVE album guys wait official release curious top used
positive,thanks nice blog post however given creds since done least half work
neutral,Chirstina said shes gunna twitter partners
neutral,yr coworkers hogging jukebox Union Jacks
positive,love much tay youre amazing come denmark love
neutral,Buying pretty shiny beads things feel quite girlish http
positive,Enjoying cool breeze beach helps relax unwind
positive,shuld dance like seriously best thing haha see yu tomoro
neutral,Stevie wonder gabe called sleepypants gaby
neutral,New orleans since katrina
negative,cant believe already friday omg done
neutral,Alix graduation party
positive,Bioshock fantastic first time played sleep Bioshock tomorrow
positive,love song starting think one knew one sameperson
neutral,swing get close
negative,sucks drawing tablet
positive,month left high school Thank God ready summer
positive,musicmonday Nicest Thing Kate Nash
neutral,need sleep
negative,lucky e went jealous
neutral,Lately waking sun face today
neutral,glasgow
neutral,ha first request sending paper copy thesis
negative,looking forward driving storm
positive,omg much fun watcing house bunny courto isa ledge sending link
neutral,imma miss dem KObe nd Bron commrcials wen cleveland get knocked doe wer funny
positive,thanks man appreciate rock sir
neutral,wants new hair frank talk
negative,want see badly
neutral,thinking excited guys move realized sad see go
neutral,really sorry becauseI looking forward thought itd fun u wanted hear u beer
negative,sick years OMG sucks bad Sickness ended including full restroom cleanup
neutral,song
negative,Working attempting keep squirrels away Squirels jesska stick spiders
positive,shrugs funny plus know enjoyed Tweet Love
positive,aus zimmermann illionare dhini gail sorronda ROMANCE BORN lisa ho CASSETTE tutu balmain ispired
negative,day crappy want cry
negative,friends going jealous
neutral,sad leave beautiful apartment
neutral,still craving cheeseburger
neutral,dont say
positive,cup tea cold tasting really good
positive,Never realized good Techmeme actually read duh avid Tech Crunch reader much better
neutral,make full girl
neutral,heyy
negative,Radio Royals Transmitter packed today good Anyone got spare shed lol
positive,LOL Wow good Haha still believe mother day
neutral,saw cute movie passed place called peasants kitchen wtf names kinda sad
negative,across water damned expensive
negative,Guess gon na try nap thing since kids cooperated yet week sure different
positive,another week begins one got better last
negative,im following im following im sorry ahhahah missed
positive,like
negative,ugh need job one hiring
neutral,way back dublin Omg didnt hit bed sleepy road back good ole dublin
negative,wan na work shift today rather whisper earpiece lady friend cellphone
negative,Internet drawing backing blackberry files could take hours drawing preps done
neutral,make decision like always choose Black
negative,suffering restless legs butt syndrome
neutral,hey next UK
positive,hope nice relaxing day hope well wishing best
neutral,got go work slight hangover gd nite thou
positive,HAPPY MOTHERS DAY VICKY MOTHERS READ
negative,sunburnt arms burnt mouth skin coming
positive,staying home badass
neutral,Really bad ones also classic
negative,want summer sprinkling STILL
negative,Birthday weekend cant find ex hid DANE COOK TICKETS tomorrow WTF wanted birthday
negative,voter paint peeled skin maybe skin peeled voter paint
neutral,monday
neutral,say tried tried sword either yet anyway
positive,weekend probably best still another day go
positive,TestFest weer een groot succes
negative,pool today Stupid weather
neutral,really know feelin wish could hug
neutral,getting early
neutral,going estonia woohoo
neutral,hope
negative,meant looking like tiger stupid predictive text
negative,finished playing mahjong lost Mag Weisheng
neutral,new site stuck Google sandpit Test skills comes back
positive,thanks twitter
negative,oh bored buut almost days til leave france
positive,overcome whatever darts enemy may try stop got ta stay focused tweetz God bless
negative,miss however humpthestump rest life
negative,help feel today massive Michael Jackson rumour day Cue MJ haters
neutral,made way round park jogging Quite pleased outing
negative,ipod died today
positive,new van nice one
negative,Birthday girl house Tweet tweet suckas
negative,fingers hurt
positive,Following new sanctuary fans See wonders SanctuarySunday good meet
negative,old blue slow code nowadays laptop borrowed work lets lounge browse
neutral,Since away COME TUCSON
neutral,Saw blink show tmobile party speachless
neutral,Homework ew fml pull nighter think gon na
positive,u go LMK Let go together
positive,watching tiny nephew perfect baby
positive,Happy Mothers Day Moms tough job totally worth
negative,gave tumblr API pointing private account
negative,Oh insomnia hate bored staring ceiling cano go sleepnow please
neutral,two clock please come faster
negative,nooo know click run sad
neutral,http got chased male chihuahua looked like pregnant today black
neutral,walked home rain
positive,ahaha thats okay thanks
neutral,u two fighting
positive,Indeed twitter mate happening Enjoy Hope see arou http
positive,want say Taylor Swift Hayley Williams great lovely voice
neutral,Watching h Got new photos myy room Waiting Ulise get home
negative,playing skate two hours need get actually skate late
neutral,drive automatically ejecting supported discs ie boot disc time AppleCare
negative,omfg one worst days ever
positive,love dreambears want best friend
neutral,ROFL
positive,bless ya know feeling well
negative,Working graduation shame
neutral,Penguins win OT probably busy One game win
neutral,Dang stuck fantasty picks
positive,oh hahahahahaha seriously tell wait staff look great time easiest nice thing
positive,subway im going get subway love ate often new zealand
neutral,eh june going signing think x
neutral,designing
positive,Green Day boulevard broken dream Hinder lips angel Howie Day collide nice song
positive,Watching snl love life hosting
neutral,made wish
negative,Listening maylene wondering cant pull many cool southern metal licks
negative,poor tony come play scrabble facebook
neutral,awe
neutral,follow
positive,love App things hella awesome bro
positive,Ah Gotcha Well curious hear thought Wolverine actually went saw
positive,need buy iPhone good app works though
neutral,wan na something tonight work dunno
negative,car alarm immobiliser makes incredibly complicated costly key code neither immobiliser
positive,Hello TwitterFon glad back
positive,think follow follower stalk please
neutral,fingers crossed
positive,Awesome Tell good might watch
positive,MGM grand mraz stage doubling back opener lots old memories flooding back
neutral,quite much hmmm products US Canada Idk covergirl
negative,Almost ready new Beta found showstopping bug Please standby
neutral,hugs
negative,sisters crying eyes hubby called Iraq spoke minutes heard popping sounds background call dropped
negative,house sad looking without furniture air mattressing nights officially moved Knoxville
negative,becoming grey hope one showers way
neutral,girl know beauty price
negative,gawwddd headshotss inna row im fyaaahhh
neutral,officially start end summer Oh summer school
negative,oh mann likey sadly bein auctioned twpp tonight
neutral,Ill catch last second
negative,Ugh feet feel like going fall
neutral,Going bed going back Korea tomorrow
negative,Hell yes late
negative,Perhaps see twitter version pulling someone pigtails Let know works
neutral,advert foundation find photos kids looking close death good thing kids
positive,Hi Isla hope
neutral,till baby back work
neutral,need Pizza get office
neutral,Bollywood fims egyptian tea
neutral,serious cig craving head kitchen let non smoker weight gain begin
negative,seriously heartbroken
negative,Sticks stones may break bones words hurt forever
neutral,getting ready work
negative,Hey Kevin Yeah one gon na toughie sure much sleep Oh well hours go
negative,Oh raining Sea World parade http
neutral,loving Please Leave Pink
positive,thanks answer wondering whole week
negative,back time wish teenager wish could feel healthy remember like feel healthy anymore
positive,wish would say unfollowed
positive,Happy Mother Day
positive,Phase success Self discovery vital Phase mins away Cool Classy baby Shout yeah mane
positive,haha one many reasons love
positive,Always welcome sweetie HUGS
neutral,Last day TV colleagues Sydney Paris London
neutral,wish could give biggest hug right sorry imagine painful must
positive,bit early wanting nice lunch good time
neutral,Bit Hollie Started Crying
positive,Finally home night dinner drinking friends Going sleep hoping bed spin much
positive,wow heather
positive,Time school feelin good jogs good
neutral,stop staying night
positive,jus listened okay nice lik thinkin abt thomas throughout e whole song luv ya
neutral,soooo disapoointed make next time Glad productive
neutral,joined Twitter hehe
negative,curse igloo dwellers
positive,Hahahahahahahaha hope hope like
neutral,loveee missss annie
neutral,Oh ex room mate moving today
positive,awake Still feeling sick got blog done least http
neutral,Take u eric
positive,Today felt much crazy digg new addition family pretty cool
positive,random night fun im chillin home happy mothers day
positive,agree come canberra raddest
negative,Skinny dipping work colleagues Maybe never live lot
neutral,finished listening Last Days Krypton audio book Loved sad though
positive,rare treat rarely ap em early may make opening bell PDX Farmers Mkt new goal
negative,Dying get hands Diagnosis Murder DVD boxset pesky kids Amazon still deliver Zimbabwe
positive,Thank new first time Japa Dog customers Twitter spreads word like new customers
neutral,read follows Yes rather simple miss dicks
neutral,New chic texted saying answer question might need look newer chic
negative,makes feel physically sick read Let Right One horrified cat violence horrible
neutral,Good Grief say much driving home Martin IKE last fall interesting hear says
neutral,storming outside
positive,proper journo would agree
positive,finished watching Star Trek IMAX Could watched night Live long prosper
negative,Yeah noticed miss Spender closer holding
positive,mom came home FINALLY got guitar strap yay
neutral,Early Mother Day dinner family
neutral,feel bad sure attribute Could cold flu meds nap alcohol getting better
positive,hahah seems think similar ways
negative,picture made cry lol http
positive,Hooray
neutral,hit word mark Geography Notes even GCSE Mean done page history
negative,bad start day sweating butt range
neutral,Hey yesterday prom best wan na go back time Ima miss every new picks soon
negative,happened wierd sudden
neutral,Heading office quiet Stockholm least sunny
negative,ano pa bang aasahan ko sa iyo never fail FAIL
neutral,tha internet Txt
negative,failed assassination attempt Louis http
negative,think something wrong video loads first seconds
negative,phone call yett Hrmm Maybe call end order wait bit longer Prom nights often spuratic moments
neutral,Im hungry cold
neutral,learn boy nutreal milk hotel
negative,sorry neglecting twitter
neutral,Sitting almost empty dorm waiting jordan come take last things say good bye graduates tomorrow
neutral,know National Holidays
positive,wanting someone spend summer evening whilst nice relaxed mood
neutral,Hour til lunch wait Ima go Mcd
negative,songs fill iPod supposed hold
negative,missed Red Rocks Sad couple days
neutral,ready school yet http
neutral,jfc needs graduated ended getting AWESOME FTSK Rocket excited
positive,page Betrayed Cast really starting enjoy series
negative,something area makes tonsils swell everyday get feel slightly miserable FF done
negative,watched hella home movies aunt uncle miss days whole family got along
neutral,Signing night Watching Reader sure snooze point Good night
positive,soo honoured u cld chk beats perhaps sm advice wat nd improve da overall sound music
positive,Ohh forgot tell last night alton towers touched shark amazing nt massive one tho
positive,weird thinking may totally changed crappy mood happiness miss much
negative,Dislocating painful dislocating toe reminded today thankfully toe Still feels weird
positive,Driving home trade cars hopefully makes http
positive,Catt TOTALLY love default picture seem like fun mom
neutral,Friday Night Magic last night lost bad suck draft
neutral,Remmber time crisis Try iPhone
negative,Yeah entire time swoon eyes swoons thinking
neutral,writing since words help edit write Stop self Oh also researching
neutral,didnt know u guys acc fb hee
neutral,Yeah last long
neutral,May
negative,Hernia hurting way usual tonight way able go
neutral,sometimes feel like person world without iphone
negative,sad Hollyoaks
neutral,Another Mobile Monday back online two days never get back http via
positive,thelma louise Good movie
neutral,check http
neutral,drive MB free external storage permanently connected home
negative,yeah feel anything remembered looking loopt phone coughin
neutral,HOMIEEEEEEEEEEE MISS LIVE LAST NIGHT HOPE TONIGHT HIT CUTIE
neutral,ya suffering whole day yesterday met dentist feel bit better still look like rocky balboa though
neutral,Picture never happened
negative,sorry misspelled twice already Im notgiving run http
positive,adorable
positive,Ok hit hay Thank
neutral,video set private
negative,talked Kat crappy
neutral,un cross please planning buying lambo summer next stop pitsvillle baby carrier
neutral,Back work
neutral,babe around bored need worry
negative,Sounds like terrific service sorry hear mom
neutral,freezing
positive,Yeaa Know Smartier plus Knows real Thing Better Lol
neutral,interested working live SF anymore
neutral,Good Morning campers happy bear morning awful dream night v worried
neutral,finished mowing lawn
neutral,Nearly ran pheasant driving lesson Baws
neutral,son would freak Falcon
neutral,awww man nott
negative,sad probably never see Fleetwood Mac
positive,glad little Prissy well obvious much love treatment getting
positive,watching men n blk wishin mums happy mother day
positive,Hi good luck mtvawards Im sure going win hope Love work ha speak spanish take care
positive,sweet Swiss Toblerone best come soon meet fabulous Rita Chichester
positive,got call Realtor saying another showing Sunday offers yet least lot interest
neutral,know get soon
neutral,absolutely view section site know busy welcome guest post
positive,aww bless haha cute Tom
negative,chance blew suffer consequences gnite tweeps
negative,Sorry Mike assuming music missing know mystery
positive,hehe NZ magical place Earth
negative,playing bejewled facebook want higherscore
positive,Hehe wondered wtf star wars day top trending topic get May Fourth also
negative,god cant even catch public transport swine flu house
neutral,beautiful day shame got spend office
neutral,new movie showing franklin Thursday night several SLA faculty attendance
neutral,cold one work
negative,hey Gerardo late response day talking bout forgiving brother givin wrong directions got way upset
neutral,Chrystina Grace Timberlake ring
neutral,Im bit tweeet yall later
positive,haha know Sorry typos last tweet blehhh ps Said sucha cute movie awww
negative,Wow hurt way worse thought would
neutral,NEW FRIEND hmmm tell
negative,AC tix actually show sold get tix stubhub pay
neutral,name brands dairy even called dark try get HelloVeggies Store
negative,hours sleep mild hangover carelessness loss brand new ipod pouch
neutral,shop work time see yas laterz x
neutral,finished loading guess get updates Twitter Message katie arttt
positive,HEY GUYS WORKING NEED WORRY tooo many followers tho
positive,bout go bed pretty good day Monday
negative,emailed link pretty sad uh RIP Jessie Kitty
negative,Might broken text messages
positive,Thank Keep good lad
neutral,hey Ive never caught enyone live
neutral,Okay twitter suddenly changed respond messages
negative,fell effed arm today back drive
negative,honestly hate said ppl sometimes sorry makin anyone
neutral,ask done lives annoying human beings tell mama happy mother day
neutral,think hannah
neutral,Holy moley raining cats dogs got snazzified Min Salon Mint
positive,Senior ball hella fun good night
positive,yay good umm reggie perrin next oh cares watching lol
neutral,got live last night vid comin soonnn
positive,nice see twitter
negative,nothing could get worse could think id verge killing someone else things good anymore
neutral,Yay watching Supernatural Great way end hard day miss Jesse
neutral,touched real live Cube Hamilton Dealership closed sit though
neutral,look said someone actually dont dont yes UGH dont know
neutral,well dont resits lol last exam
neutral,watching Pineapple Express seriously thinking used real weed movie
negative,neck hurts lot
negative,needs get fever grrrrr
neutral,baha gon na find dont think took gon na find
positive,glad someone slept last night doggy would take picture see laptop
negative,Kinda nothing Life boring feel like changing look Let go shopping tomorrow
positive,love game show suuuppper pissed got cancelled
negative,ready work except arm
positive,darling dd says mum best friend told tell said love ya moo jd
neutral,ok ermm meet gym half four
neutral,Sun making happy Shame work tonight x
negative,SOOO mad yesterday today SUCKED much
neutral,good day sun little bit burnt tho well actualy quite alot sore heh
positive,lucky lucky friend nickleback concert atm wish
positive,great dinner wonderful girlfriend
positive,thank Marc Jacobs thou love limited
positive,finally learned think speaks works wonders
positive,Monday morning lying bed instead working great bank holidays required
positive,oh ok thanks
negative,het r u finished cleaning pond u stay long u get wrinkled kidding
neutral,home heck Ima home soon iA
positive,little stomach bug nothing serious
positive,definitely
neutral,get callback play cried oh well guess back techie
positive,weeks finally rained quite enough yet seems coming garden happy
neutral,takes bill keep change
neutral,leaving morning go mommys
positive,glorious week best holiday ever think want go home morning
negative,PAIN big toe got stamped hokey cokey hurts much anyone suggestions help
negative,Outlook good
positive,Saw Confessions Shopoholic Totally fell love Hugh Dancy accent Need tomorrow new top want
positive,got back Kuantan sooooooo much FUN
positive,Well good job two cousins graduates Good luck life never wear pajama pants school
positive,camel hill give plankton HILARIOUS
negative,Oh God sad day
neutral,EFF NOISE
positive,sweet good day
negative,cant get mine keep getting error
positive,Glad hear tournament soon KSN says need practice
neutral,Sat alone whilst jay plays phone
neutral,myspace profile OLLLD NEWSZ need editeditedittt
neutral,Slept woke iced coffee lazed went late lunch BF sweet little Saturday
negative,whats point wisdom teeth NOTHING grr much pain look like chipmunk FML
negative,haha scared
positive,lucky mom paid everything take shopping
neutral,Well called comedyqueen nowt lol
negative,Waiting email probably never arrive ED later Consti study hopeless bumming
neutral,missed u Stop defending urself true fans u U best u change biggest french fan
negative,miss u like cotton candy
neutral,stayed home school today doctors sooooon
negative,ALO sad quiet empty tonight
neutral,First surprise birthday ever best night long time
negative,OmG U NasTY
neutral,Culled handful esp followers spam ones NSFW links click made cut though
negative,WTF Advertising gone mad want access camera microphone Amazon really know better http
neutral,would cry little Wait mean mechanical army would pleased proper representation
positive,Gooood morning
positive,Happy Mother Day
negative,cankle sore
negative,Kuala Lumpur know vanished haha broke last boyfriend back
positive,haha good bet
positive,OH EMM GEE QUEBEC DAYS EXCITED
positive,Loves using remote access use desktop laptop Back Emerge
positive,hope go away quicker mine weeks counting
positive,Cinema tonight half price Monday
neutral,HMV Shinjuku
negative,Babysitting sun heat getting lots freckles
negative,tried swat fly Buddhist magazine bad karma
positive,WHEW going focus family time swim suit shopping rest vacay Thanks kind words
neutral,Yo somebody mother came club dresses like going straight church club feel like going hell
negative,r u Yvonne seen u google groups day Miss ya
neutral,wish Saturday Night Fever stay lastnite whole thing
negative,scared bruised
negative,think dreaming However memory suck maybe
neutral,
neutral,Nope way home
positive,Aw song makes think girl scouts
neutral,yes try posting pics
positive,God lOVE quizzes get phone im gon na facebook quizzes
neutral,definitely also wanted say time favorite track seriously made tear
neutral,hey Jess Josh
neutral,even care
positive,wish weather would slightly less rainy could use hot tub
negative,rarely sleep cant help hehe
neutral,raining go jogging house gym
neutral,matter
positive,lol like challenges impossible want try
positive,yes yes Especially wine mushrooms Ummm love mushies
positive,soo stressed think could possibly lose
neutral,Currently brushing art science selecting good domain names domains year poor results
negative,go grocery store empty stomach trouble wan na see ur show sure ill get let u kno
negative,Bummer hope continue long
positive,yerrrr sameee haha way plays edward thinkk mmmm
positive,forget much miss tribe til limited access talking Spotty internet country long
neutral,says alright alright going already Sheesh well better early late http
negative,took shirt back COVERED blisters http
negative,read book called Girl bad
neutral,Yo happened invite
neutral,Oooommmmggg probs busy slay properly Hopefully stay ahead task week
neutral,short hours left go work
neutral,thinking reading talking View miss often
positive,need good idea FAST
neutral,got read downwards make sense
neutral,Yesterday today weekend back work
neutral,im right im vacation got workin
neutral,starting twitter
neutral,come pup certainly near future Maybe beagle depends muss fatboy
neutral,break via second phone call
negative,wan na work tonight
positive,also happy mother day
positive,Thank love tattoos special feet ones beautiful
neutral,romantic novel cried end going bed tired
negative,know ashamed watch single episode new GH season kept falling asleep gave
neutral,close hopefully figure eating nothing cookies week tho
negative,Burned legs x
neutral,Really Awesome Im mad cuz followers r goin Take Breath
neutral,james go
neutral,Time play drums
neutral,agree however sell full brick motar store soon though hopefully
neutral,job camp downfall midnight showing Harry Potter
neutral,eating lunch school
negative,ALWAYS one JOYKILL crowd haters
neutral,brother making banana shake Yesterday made mango shake shake guy
neutral,work got percent monday feeling
neutral,u win u always roll pass lol anyone take
neutral,Let guess Antiques Collectibles Anywhere else like
neutral,Finally beautiful sunny day Atlanta bad stuck inside working
neutral,thanks iPhone kept till
neutral,sure
neutral,well question blog post
negative,OMGosh degrees sweating miserable gon na visit ATX need AC need AC
negative,could called told person humiliate front whole twitterverse
neutral,LOL special kind magic though see special Discovery think Nessie died
neutral,missed miss rpt Oh well youtube sunday guess Thanks Andrew
negative,Jus Got Hom Fr TDa Funeral Sad Cried Much Times Much Love Grandpa Never Got Say Last
positive,lol great episode
positive,fully inspired write song
negative,Though cold would go away turns sinus infection keeps getting worse worse day
positive,ali like wonderful sunday
neutral,working summer
neutral,used last Windows ISO Next batch Lightscribe dicsc want see works
positive,true love brazil australia nitey
positive,Gettin ready hit mall mom Jayden THINGS
neutral,focus Sunday game
neutral,ate much ice cream curly fries
neutral,trying get moving morning
negative,hate cat pee
neutral,LAST CALL
neutral,valium makes feel goood need fall back asleep want mommy
positive,http whooooooooooooa ang ganda ko dito ha thank
neutral,jia
neutral,months back twitter
negative,dammit need new cupcake tins
negative,ahhhh sad
neutral,Well glad one Mine bad resort pulling old hairband disguises
neutral,even reply old tomorrow
positive,Im pleased hun
neutral,HEY HEY ready come oklahoma
positive,Thanks follow Tove
positive,fantastic time paradise drink Margeritas
neutral,raining outside without umbrella
negative,little girl BGT omggg people feel sorry
neutral,yup def swine flu think sausage
positive,tonight Cool
neutral,New Article http Let know think
neutral,Tatiiiii
positive,good day checking Hugh today Also lookout best recipe ever tasted
positive,nice night golfing
neutral,signin autographs would boring think Get wasted fun stuck work
neutral,possible frown eating Frosty
negative,Sad Christian Lacroix file bankruptcy
negative,STUPID ipod taking forever load
negative,jessie gone away weekend miss already
positive,Sitting shadow tree heart city listening Panic waiting bus thanks wind pleasant
negative,woke early morning happy bout headache dizzy breathe yeh im still sick
negative,nevermind kept reading see ya r gon na Williamsburg mind business lol
neutral,fingers crossed neighbor sign UPS package today otherwise may pretty skirts
negative,alice know wear cinema
positive,Yeah yesterday turned parents rented hummer limo pretty cool
positive,aww dont cry ashley
neutral,bring pokemon forgot home
neutral,go sleep sleepy
positive,Love wish half could even name web design ladies
positive,still recall helpful way back struggled AR contest question
positive,great weekend ate much think looking forward trip Hobart Friday
negative,hush stop teasing
negative,im wearing certain tye dye tshirt moment misses counterparts
neutral,Gotcha Let meet Twitt Cafe
negative,feeling sick oh well reckon people bus cursed Anyways nighty night
neutral,take long fragment bone heal major bone reabsorbed body may need fix future
positive,Happy Belated birthday hun net broke first chance get online Luff Yooooooo xxxxxxxx
neutral,think read strawberries hard fav char comics like bad rabbit stud chic sent kid
neutral,supporter totally
positive,Justin Timberlake sooo funny
positive,Get yer freak Monday Great one possible great Monday
neutral,managed stab piece bhuja hot course roof mouth Blood everywhere well least mouth
positive,love
negative,steak burrito bowl right wish lazy go downtown
positive,hahaha chivalry dead rare
positive,awww holly shes cute hope let sing
positive,omg twin sister fav song
negative,moving offices going miss Hollywood
neutral,girl friend also dropped
neutral,wedding
negative,Probably kinda expensive work people weekends work
negative,shame Freud follow implications
neutral,yes pool opened weekend
neutral,alone evening
neutral,might still eating drinking
neutral,farewelling employee tonight
negative,everyones set msn nobody talk
neutral,skyped u las nite
positive,like Rio Ferdinand wearing England jersey
negative,Truly sad cheap little camcorder shot craps
positive,sweet nk dreams love
neutral,obsessing chris pine heehee
negative,fear crept already dismissed let thing right coz time feelings different
negative,ugh miserable looking day degrees summer go
negative,bored really know
neutral,woot go girl
negative,twitterberry moved ubertwitter suffered BB cache errors
positive,poetic great going keep coming
positive,thanks stephen appreciate
neutral,totally got hit one bar guests Ha ha Yay
neutral,hate happens hope figure soon
negative,miss sad get meet
positive,Completely EXCELLENT Dave Matthews concert Jason Mraz opened heard leave first time live
positive,Spoke culture Rackers Castle time awesome Mexican food drinking antibiotics
neutral,lol hiiii Maybe lay patron bottle water
positive,way homee love long car rides
negative,tiiiired cant sleep
positive,greeeeeeaaaaatttttttt babe amazing
negative,well definitely hayfever
positive,thinking recent job opportunities hoping get one gettng ready church
negative,poor little old taken hospital yesterday syringe feeding home want drink
positive,graverobber sometimes wonder even bother fun tonight
positive,SNL tonight going HILARIOUS
negative,got see favorite guys back long island heading back city tomorrow monday boyfriend
positive,tell yo mamma em axe durrin said happy mothers day
neutral,want leave
negative,http hour sun turned blancmange Sucks pale
positive,aww happy mother day girlie kingston lucky great mommy
positive,oh really hopefully good one trying get attention thats
neutral,Let check Sirs
negative,Bout knock Feelin lil sick peace
neutral,yay playing scattegories random Joel May Sherman
neutral,god really Really Christ
negative,http ugh grosss
neutral,know
neutral,like wat wat HA got go mushygushy peace twitter dudes got gushy gram make
positive,need hug cuz garbage truck men keep driving next whistling Im working hard graduate
positive,fantastic Thank
neutral,One mine potential winner think could quite easy code might sit
negative,hours sleep last night barely functioning
positive,Thank Usually learning happens get little rest review notes reminds better get rest
neutral,hear scorcher back home got clouds Back studio maybe lucky might get songs done
neutral,technically havent really gotten bed think right gon na stay
negative,Yeah probably stop stories completely finished though Wide awake
neutral,NOPE years since happened like
neutral,Trying twitter thing Facebook finally routine need figure twitter thing
neutral,see u Next Saturday Mr
negative,miss terribly
neutral,creative choosing next alias Adding N front obviously stealthy enought
neutral,tried reply back need follow DM many friends common short answer
neutral,bought Leica charger arrived DOA Called Leica got transferred around left VM atleast RF misaligned
positive,Oh yeah camera clipping problems Void completely fixed yay fiddling
neutral,em Hahahahaha sry
positive,got twilight board game today good old ebay
positive,Laws Power Robert Greene little bit much anyone interested copy DM
negative,real BOY goddamit guh apostro feel sad library lady thinks stupid STUPID j
negative,run earl grey lemon tea instead whb
positive,finally made QC happy mother day got car
positive,done good nite
negative,one watch peeps actually focused finals already
negative,Oh long remember
positive,Download movie Notorious http cool movie
neutral,Want hang beth tenaya hubbys tonight jon wants hang people
neutral,Talking Sarah Lisa
neutral,tweeterizing mobile
positive,Hi Waking lazy would proud Btw nice colour burnt
negative,seagull hates im utterly depressed miss
neutral,want get super pretty want cig
positive,Wasabi recovering surgery http
negative,omg ICECREAM
neutral,going school leave stuff
neutral,run later hopefully catch everyone missed today Working web bear miss lot
negative,gosh watchin cosmetic surgery nightmares ITV AWFUL
neutral,Ive passed drunk passed couple hours Good go
negative,GRR stupid meebo disconnecting every seconds
positive,LMAO saw sounds HELLA good hair appt
neutral,Ooh new Bonkers tomorrow nearly forgot
positive,sure fans week wow guess soon overtake Malaysian Page
neutral,Im tired sick better Sunday sing morning night
positive,love video Da Funk Daft Punk
positive,lovely
positive,Packing gym bag gym bit Squee happiest whem go
positive,happy mothers day mommy love much dono id without
neutral,Homework Study Guides
negative,grrr hate make careless mistakes docs give partner
neutral,least breakthrough performance tho wanted nominated category
neutral,version sold regular version
neutral,gone
neutral,hi vishal
neutral,FINALLY use internet explorer Firefox issues Back normal Tweeting
neutral,friday work weekend
positive,Feeling butterflies today Study study study contracts gon na ace competition journals
positive,comes fun part find offers per country live outside US changes quite tiny
positive,Watched Yes Man good http
negative,forgot words started crying stopped singing carried cried stopped
positive,hey Sherri give married may brother friend
neutral,Sorry think hrs till days
negative,iPod IM
positive,okay getting sick NOPE HAHAHA PHEW sry mike lol hope get better soon
negative,grrrr youtube wont let watch chat
negative,well propels people change direction point wasting days something lost passion
negative,Hour fifteen drive left bored ate half food already
negative,contemplating getting hair cut severe anxiety
neutral,seriously addicted talking people haha love care tell otherwise jerk
negative,Excitement new followers overnight Sadness ad bots
negative,sorry Demi read post attend BGT Im sure support SB helped tho world without paps PLZZ
positive,wish could go meet middle tomorrow
positive,pauly wallly made life happy hell love reply back
neutral,Lovin SOOOO much right
negative,bye LA already miss
positive,haha dork sounds yummy Share
negative,ahhh think legs burnt hurt
negative,trashy sensationalist yes
neutral,hahaha ur gon na tweet awoke night haha Man concerts suck Cali da place
positive,Happy Star Wars Day
positive,Thanks Follow
positive,http Loving Jumper
negative,Oh fml probs gunna shepards bush hate
neutral,unfortunatly start making way home via Singapore gig fun yet
positive,wish sun lollies get addicted flavour
neutral,saddo haha actually makes really happy Warrens dead though
neutral,need another kiss attack
positive,hehe almost hear right ear yet
neutral,NKU get app
